solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm
2473,RandomSearchUniformBaseline,4543301.886792453,0.03199999999999992,7560.0,200.0,109.5876,0.00011111111111111112,7060.0,-0.3680000000000001,-5456698.113207547,-299890.4124,-7500.0,0.9680000000000001,9000.0,False,0.023166894912719727,UAV_ROCK_R3Pro,ML_RandomForest_Fast
2474,RandomSearchUniformBaseline,534932.0388349516,0.43299999999999994,65.0,200.0,3.65292,2e-05,-435.0,0.03299999999999992,-9465067.961165048,-299996.34708,-48500.0,0.5670000000000001,49999.99999999999,False,0.023166894912719727,FOS_Basic_FBG,Traditional_Morphology
2475,RandomSearchUniformBaseline,10508269.961977188,0.010000000000000009,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.39,508269.96197718754,-299342.4744,-28500.0,0.99,30000.0,False,0.023166894912719727,MMS_Riegl_VMX2HA,DL_YOLOv7_Standard
2476,RandomSearchUniformBaseline,8661746.987951808,0.29799999999999993,22560.0,10.0,547.938,3.571428571428572e-05,22060.0,-0.10200000000000009,-1338253.0120481923,-299452.062,-26500.0,0.7020000000000001,27999.999999999996,False,0.023166894912719727,MMS_Leica_TRK300,Edge_TinyYOLO_v4
2477,RandomSearchUniformBaseline,4839854.01459854,0.235,7560.0,10.0,292.23359999999997,5e-05,7060.0,-0.16500000000000004,-5160145.98540146,-299707.7664,-18500.0,0.765,20000.0,False,0.023166894912719727,MMS_Basic_Camera,DL_FasterRCNN_FPN
2478,RandomSearchUniformBaseline,2966246.2908011866,0.3879999999999999,4060.0,200.0,91.323,0.00016666666666666666,3560.0,-0.012000000000000122,-7033753.709198814,-299908.677,-4500.0,0.6120000000000001,6000.0,False,0.023166894912719727,UAV_Professional_Camera,Traditional_Canny_Optimized
2479,RandomSearchUniformBaseline,10495192.307692308,0.010000000000000009,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.39,495192.307692308,-299342.4744,-28500.0,0.99,30000.0,False,0.023166894912719727,MMS_Riegl_VMX2HA,DL_AttentionUNet_Crack
2480,RandomSearchUniformBaseline,563020.8333333334,0.15400000000000003,65.0,200.0,18.264599999999998,1.6666666666666667e-05,-435.0,-0.246,-9436979.166666666,-299981.7354,-58500.0,0.846,60000.0,True,0.023166894912719727,FOS_Luna_ODiSI,DL_YOLOv7_Standard
2481,RandomSearchUniformBaseline,4794539.748953975,0.29799999999999993,7560.0,10.0,292.23359999999997,5e-05,7060.0,-0.10200000000000009,-5205460.251046025,-299707.7664,-18500.0,0.7020000000000001,20000.0,False,0.023166894912719727,MMS_Basic_Camera,Edge_TinyYOLO_v4
2482,RandomSearchUniformBaseline,595333.8762214984,0.2519999999999999,160.0,10.0,73.05839999999999,0.00016666666666666666,-340.0,-0.14800000000000013,-9404666.123778502,-299926.9416,-4500.0,0.7480000000000001,6000.0,True,0.023166894912719727,Vehicle_Accelerometer_Pro,Traditional_Canny_Optimized
