solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm
0,GridSearchBaseline,10868918.918918919,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,868918.9189189188,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
1,GridSearchBaseline,10574318.181818182,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,574318.1818181816,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
2,GridSearchBaseline,10514754.098360654,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,514754.09836065397,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
3,GridSearchBaseline,10489411.764705881,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,489411.7647058815,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
4,GridSearchBaseline,10475076.219512194,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,475076.2195121944,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
5,GridSearchBaseline,10868918.918918919,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,868918.9189189188,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
6,GridSearchBaseline,10574318.181818182,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,574318.1818181816,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
7,GridSearchBaseline,10514754.098360654,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,514754.09836065397,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
8,GridSearchBaseline,10489411.764705881,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,489411.7647058815,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
9,GridSearchBaseline,10475076.219512194,0.244,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.15600000000000003,475076.2195121944,-299342.4744,-28500.0,0.756,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,DL_MaskRCNN_ResNet50
10,GridSearchBaseline,10868918.918918919,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,868918.9189189188,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
11,GridSearchBaseline,10574318.181818182,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,574318.1818181816,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
12,GridSearchBaseline,10514754.098360654,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,514754.09836065397,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
13,GridSearchBaseline,10489411.764705881,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,489411.7647058815,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
14,GridSearchBaseline,10475076.219512194,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,475076.2195121944,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
15,GridSearchBaseline,10868918.918918919,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,868918.9189189188,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
16,GridSearchBaseline,10574318.181818182,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,574318.1818181816,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
17,GridSearchBaseline,10514754.098360654,0.3879999999999999,26060.0,10.0,657.5255999999999,3.3333333333333335e-05,25560.0,-0.012000000000000122,514754.09836065397,-299342.4744,-28500.0,0.6120000000000001,30000.0,False,0.0008504390716552734,MMS_Riegl_VMX2HA,Traditional_Canny_Optimized
