solution_id,method,f1_total_cost_USD,f2_one_minus_recall,f3_latency_seconds,f4_traffic_disruption_hours,f5_carbon_emissions_kgCO2e_year,f6_system_reliability_inverse_MTBF,g1,g2,g3,g4,g5,detection_recall,system_MTBF_hours,is_feasible,time_seconds,sensor,algorithm
0,ExpertHeuristicBaseline,3225000.0,0.235,50060.0,200.0,73.05839999999999,6.666666666666667e-05,49560.0,-0.16500000000000004,-6775000.0,-299926.9416,-13500.0,0.765,15000.0,False,4.315376281738281e-05,Handheld_Creaform_Go,DL_FasterRCNN_FPN
1,ExpertHeuristicBaseline,5684318.181818182,0.010000000000000009,7560.0,200.0,109.5876,0.00011111111111111112,7060.0,-0.39,-4315681.818181818,-299890.4124,-7500.0,0.99,9000.0,False,4.315376281738281e-05,UAV_ROCK_R3Pro,DL_YOLOv7_Standard
2,ExpertHeuristicBaseline,514636.36363636365,0.19899999999999995,65.0,200.0,3.65292,2e-05,-435.0,-0.20100000000000007,-9485363.636363637,-299996.34708,-48500.0,0.801,49999.99999999999,True,4.315376281738281e-05,FOS_Basic_FBG,ML_XGBoost_Tuned
